Reference,Habitat,Habitat2,Habitat_Type,Species,Species2,Response_Type_Communication-Behavior-Reproduction-Physiology,Song_Frequency_Low_Hz,Song_Frequency_High_Hz,Song_Loudness_low_dB,Song_Loudness_high_dB,Distance_meters_avg,Distance_meters,Independent_Variable_Standardized,Independent_Variable_more,Dependent_Variable,Dependent_Variable_Final,Sample_size_n, Effect size_numerical value,Mean,Standard_deviation,Standard_Error,High_Confidence_Interval,Low_Confidence_Interval (CI),R-square,t-value,Cohens d value_equations,"Effect Size Type - cohens_d
hedges_g
r
log_odds_ratio

or others....",Cohens d value
"Matthew DA, Ivande ST, Ottosson U, Osinubi ST. 2024. Ostrich. DOI: 10.2989/00306525.2024.2310683",Urban to rural gradient,Urban to rural gradient,Mixed,Northern Grey-headed Sparrow (Passer griseus),Sparrow,Communication,1819.15,6236.37,NA,NA,69.9,Up to 69.9 m,Environmental,Ambient noise level (dB),Box Use,Song Frequency/Duration,75,0.22,6236.37,NA,NA,NA,NA,0.22,28.873,1.062170009,R²,1.062170009
Önsal et al. 2022,Urban,Urban green spaces,Urban,European robin (Erithacus rubecula),Robin,Communication,NA,NA,NA,NA,NA,Song rate,Noise,Habitat type,Frequency,Noise,9,3.25,49,7.1,NA,NA,NA,NA,3.25,1.083333333,t,1.083333333
"Dowling JL, Luther DA, Marra PP. 2012. Behavioral Ecology",Urban to rural gradient in Washington DCâ€“Baltimore metropolitan area,Urban to rural gradient,Mixed,Northern Cardinal (Cardinalis cardinalis),Cardinal,Communication,1450,4666,NA,NA,400,Recordings within 400 m radius of site center,Noise,"Ambient noise level (dB), % impervious surface",Onset of dawn song (minutes before sunrise),Song Frequency/Duration,45,0.23,NA,NA,NA,NA,NA,0.23,NA,1.09307145,R²,1.09307145
"JuÃ¡rez et al., 2021, Ibis, 163, 52-64",Urban gradient,Urban city,Urban,House Wren (Troglodytes aedon),Wren,Communication,800,5000,NA,NA,10,Average 10 m (range 8-12 m),Noise,,Stress hormone levels,Song Frequency/Duration,10,0.23,58,NA,NA,NA,NA,0.23,NA,1.09307145,R²,1.09307145
"Dowling JL, Luther DA, Marra PP. 2012. Behavioral Ecology",Urban to rural gradient in Washington DCâ€“Baltimore metropolitan area,Urban to rural gradient,Mixed,Northern Cardinal (Cardinalis cardinalis),Cardinal,Communication,1450,4666,NA,NA,400,Recordings within 400 m radius of site center,Noise,"Ambient noise level (dB), % impervious surface",Onset of dawn song (minutes before sunrise),Song Frequency/Duration,45,0.24,NA,NA,NA,NA,NA,0.24,NA,1.123902974,R²,1.123902974
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Species richness,Multiple,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Behavioral changes/response,Abundance,113,0.49,NA,NA,0.29,1.05,-0.07,NA,NA,1.12421106,Beta coefficient,1.12421106
"Montenegro et al., 2021, Scientific Reports",Laboratory (operant conditioning chambers),Laboratory,Other,Poecile atricapillus,Chickadee,Behavior,NA,NA,NA,NA,NA,Operant chamber setup,Noise,Low Noise,Frequency,Noise,10,0.564,9.708,NA,NA,NA,NA,NA,NA,1.128,Eta-squared (ANOVA),1.128
"Montenegro et al., 2021, Scientific Reports",Laboratory (operant conditioning chambers),Laboratory,Other,Poecile atricapillus,Chickadee,Behavior,NA,NA,NA,NA,NA,Operant chamber setup,Noise,,Frequency,Noise,10,0.564,>0.80,NA,NA,NA,NA,NA,NA,1.128,Eta-squared (ANOVA),1.128
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Woodland,Urban,Golden-cheeked warbler (Setophaga chrysoparia),Warbler,Behavior,3965,5295,NA,NA,400,≤400 m from highways,Environmental,"Distance, Site and treatment phase",Frequency,Song Frequency/Duration,450,0.57,NA,NA,NA,NA,NA,NA,NA,1.14,F,1.14
"Rios-ChelÃ©n AA, Lee GC, Patricelli GL. 2015. Behav Ecol Sociobiol","Mix of wetlands, grasslands, and cattails",Marsh,Mixed,Red-winged blackbird (Agelaius phoeniceus),Blackbird,Communication,1550,6379,NA,NA,NA,"Distance measured with rangefinder, specific values not summarized",Noise,,Latency to resume provisioning (s),Effect on Bird,27,0.248,47.11 elements/s,20.17,0.52,NA,NA,NA,NA,1.148542092,R²,1.148542092
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Western tanager,Tanager,Behavior,NA,NA,NA,NA,NA,NA,Noise,Multiple,Probability of occurrence,Abundance,113,0.5,NA,NA,0.22,0.93,0.08,NA,NA,1.154700538,Beta coefficient,1.154700538
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Woodland,Urban,Golden-cheeked warbler (Setophaga chrysoparia),warbler,Communication,3965,5295,NA,NA,450,0-900 m from highways,Control and Environmental,Treatment phase,Body condition (size-corrected weight),Song Frequency/Duration,19000,0.58,NA,NA,NA,NA,NA,NA,NA,1.16,F,1.16
da Luz Mathias et al. 2021. Urban Ecosystems,Rural,Rural,Rural,Greater white-toothed shrew (Crocidura russula),,Behavior,NA,NA,NA,NA,NA,Experimental arena (50x50x30 cm),Noise,Habitat (urban vs. rural),Territory Density,Effect on Bird,32,22.16,NA,NA,NA,NA,NA,NA,NA,1.17696644,χ²,1.17696644
"JuÃ¡rez et al., 2021, Ibis, 163, 52-64",Urban gradient,Urban city,Urban,House Wren (Troglodytes aedon),Wren,Communication,800,5000,NA,NA,10,Average 10 m (range 8-12 m),Noise,,Rattle rate,Song Frequency/Duration,10,0.26,58,NA,NA,NA,NA,0.26,NA,1.185497957,R²,1.185497957
Önsal et al. 2025,Rural v/s Urban,Urban to rural gradient,Mixed,European robin (Erithacus rubecula),Robin,Behavior,NA,NA,NA,NA,NA,Closest approach distance,Noise,Habitat type,Start time of dawn chorus (minutes relative to sunrise),Environment,12,9.75,NA,NA,NA,NA,NA,NA,NA,1.274754878,χ²,1.274754878
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,White-throated sparrow,Sparrow,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Occurrence (presence/absence),Abundance,113,0.54,NA,NA,0.14,0.82,0.26,NA,NA,1.283170833,Beta coefficient,1.283170833
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Woodland,Urban,Golden-cheeked warbler (Setophaga chrysoparia),Warbler,Behavior,3965,5295,NA,NA,400,≤400 m from highways,Environmental,"Distance, Site and treatment phase",Note duration (seconds),Song Frequency/Duration,450,0.65,NA,NA,NA,NA,NA,NA,NA,1.3,F,1.3
"Dowling JL, Luther DA, Marra PP. 2012. Behavioral Ecology",Urban to rural gradient in Washington DCâ€“Baltimore metropolitan area,Urban to rural gradient,Mixed,Carolina Wren (Thryothorus ludovicianus),Wren,Communication,1671,5260,NA,NA,400,Recordings within 400 m radius of site center,Noise,"Ambient noise level (dB), % impervious surface",Agression rate,Song Frequency/Duration,33,0.3,NA,NA,NA,NA,NA,0.3,NA,1.309307341,R²,1.309307341
"JuÃ¡rez et al., 2021, Ibis, 163, 52-64",Urban gradient,Urban city,Urban,House Wren (Troglodytes aedon),Wren,Communication,800,5000,NA,NA,10,Average 10 m (range 8-12 m),Noise,,Vocal behavior,Song Frequency/Duration,10,0.3,58,NA,NA,NA,NA,0.3,NA,1.309307341,R²,1.309307341
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Woodland,Urban,Golden-cheeked warbler (Setophaga chrysoparia),warbler,Communication,3965,5295,NA,NA,450,0-900 m from highways,Control and Environmental,Treatment phase ,Frequency,Song Frequency/Duration,19000,0.66,NA,NA,NA,NA,NA,NA,NA,1.32,F,1.32
"Engel MS et al., Curr Pollut Reports, 2024","Multiple habitats (urban, rural, natural)",Urban to rural gradient,Mixed,Multiple Species of Birds,Multiple,Behavior,NA,NA,NA,NA,NA,NA,Noise,NA,Fledgling Success,Effect on Bird,50,0.568,NA,NA,NA,NA,NA,NA,NA,1.38026803,epsilon-squared,1.38026803
"JuÃ¡rez et al., 2021, Ibis, 163, 52-64",Urban gradient,Urban city,Urban,House Wren (Troglodytes aedon),Wren,Communication,800,5000,NA,NA,10,Average 10 m (range 8-12 m),Noise,,Vocal behavior (song characteristics),Song Frequency/Duration,10,0.33,58,NA,NA,NA,NA,0.33,NA,1.403620053,R²,1.403620053
"Wood WE, Yezerinac SM. 2006. The Auk 123(3):650-659",Urban environments,Urban green spaces,Urban,Song Sparrow (Melospiza melodia),Sparrow,Communication,1140,9280,NA,NA,10,â‰¤10 m (microphone to singing perch),Noise,,Abundance/Richness,Song Frequency/Duration,28,0.59,NA,NA,NA,NA,NA,NA,NA,1.461475424,r,1.461475424
"Matthew DA, Ivande ST, Ottosson U, Osinubi ST. 2024. Ostrich. DOI: 10.2989/00306525.2024.2310683",Urban to rural gradient,Urban to rural gradient,Mixed,Common Bulbul (Pycnonotus barbatus),Bulbul,Communication,1781,3504,NA,NA,69.9,Up to 69.9 m,Environmental,Ambient noise level (dB),Clutch size,Song Frequency/Duration,45,0.35,1781.23,NA,NA,NA,NA,0.35,2.8278,1.467598771,R²,1.467598771
"Hamza F, Hanane S, Almalki M, Chokri MA. 2023. Urban Ecosystems 26:185-196",Coastal Mediterranean oasis system,Coast,Rural,Great Grey Shrike,Shrike,Behavior,NA,NA,NA,NA,14543,Mean distance to industrial complex: 14543.1 m,Environmental,,Frequency,Song Frequency/Duration,264,0.351,14543.1,NA,813.3,95%,NA,NA,NA,1.470825686,R²,1.470825686
"Damsky J, Gall MD. 2017. The Condor 119:26-36",Ecological preserve,Wildlife preserve,Rural,Black-capped Chickadee and Tufted TitMouse,Chickadee,Behavior,NA,NA,NA,NA,23,23 m (speaker to platform),Noise,"Trial time (before, during, after)",Syllable length (ms),Song Frequency/Duration,27,0.754,NA,NA,NA,NA,NA,NA,NA,1.508,F,1.508
"Halfwerk W, van Oers K. 2020. Proc. R. Soc. B 287: 20192951",Controlled experimental room,Laboratory,Other,Great Tit (Parus major),Tit,Behavior,NA,NA,NA,NA,NA,Not specified (experimental room: 4.0 x 2.4 x 2.5 m),Control and Noise,Prey target (cryptic),Minimum frequency of each syllable (kHz),Noise,12,13.8,NA,NA,NA,NA,NA,NA,NA,1.516575089,χ²,1.516575089
"JuÃ¡rez et al., 2021, Ibis, 163, 52-64",Urban gradient,Urban city,Urban,House Wren (Troglodytes aedon),Wren,Communication,800,5000,NA,NA,10,Average 10 m (range 8-12 m),Noise,,Reproductive efficiency,Song Frequency/Duration,10,0.37,58,NA,NA,NA,NA,0.37,NA,1.532712089,R²,1.532712089
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Urban green spaces,Urban,Golden-cheeked warbler (Setophaga chrysoparia),Warbler,Communication,3965,5295,NA,NA,450,0-900 m from highways,Control and Environmental,Treatment phase,Frequency,Noise,19000,0.78,NA,NA,NA,NA,NA,NA,NA,1.56,F,1.56
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Woodland,Urban,Golden-cheeked warbler (Setophaga chrysoparia),warbler,Communication,3965,5295,NA,NA,450,0-900 m from highways,Control and Environmental,Treatment phase,Laying date,Song Frequency/Duration,19000,0.78,NA,NA,NA,NA,NA,NA,NA,1.56,F,1.56
"Matthew DA, Ivande ST, Ottosson U, Osinubi ST. 2024. Ostrich. DOI: 10.2989/00306525.2024.2310683",Urban to rural gradient,Urban to rural gradient,Mixed,Common Bulbul (Pycnonotus barbatus),Bulbul,Communication,1781,3504,NA,NA,69.9,Up to 69.9 m,Noise,Physical structure (%),Laying date,Song Frequency/Duration,45,0.38,1781.23,NA,NA,NA,NA,0.38,5.52,1.565762723,R²,1.565762723
"JuÃ¡rez et al., 2021, Ibis, 163, 52-64",Urban gradient,Urban city,Urban,House Wren (Troglodytes aedon),Wren,Communication,800,5000,NA,NA,10,Average 10 m (range 8-12 m),Noise,,Vocal behavior,Song Frequency/Duration,10,0.4,58,NA,NA,NA,NA,0.4,NA,1.632993162,R²,1.632993162
"JuÃ¡rez et al., 2021, Ibis, 163, 52-64",Urban gradient,Urban city,Urban,House Wren (Troglodytes aedon),Wren,Communication,800,5000,NA,NA,10,Average 10 m (range 8-12 m),Noise,,Average peak frequency,Song Frequency/Duration,10,0.41,58,NA,NA,NA,NA,0.41,NA,1.667231543,R²,1.667231543
"Wood WE, Yezerinac SM. 2006. The Auk 123(3):650-659",Urban environments,Urban green spaces,Urban,Song Sparrow (Melospiza melodia),Sparrow,Communication,1140,9280,NA,NA,10,â‰¤10 m (microphone to singing perch),Noise,,Abundance/Richness,Song Frequency/Duration,28,0.65,NA,NA,NA,NA,NA,NA,NA,1.710674407,r,1.710674407
"Van Donselaar et al., Urban Ecosystems (2018) 21:1043-1051","Urban to rural gradient in Kent County, Michigan",Urban to rural gradient,Mixed,Black-capped chickadee (Poecile atricapillus),chickadee,Behavior,NA,NA,NA,NA,1000,Feeder stations separated by >1 km,Environmental,Treatment (Pre-stim/Cat),Abundance/Richness,,24,0.671,NA,NA,0.208,NA,NA,NA,3.22,1.809949018,Beta coefficient,1.809949018
"Montenegro et al., 2021, Scientific Reports",Laboratory (operant conditioning chambers),Laboratory,Other,Poecile atricapillus,Chickadee,Behavior,NA,NA,NA,NA,NA,Operant chamber setup,Noise,,Frequency,Noise,10,0.92,NA,NA,NA,NA,NA,NA,NA,1.84,Eta-squared (ANOVA),1.84
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Woodland,Urban,Golden-cheeked warbler (Setophaga chrysoparia),warbler,Communication,3965,5295,NA,NA,450,0-900 m from highways,Control and Environmental,Treatment phase,Frequency,Song Frequency/Duration,19000,0.92,NA,NA,NA,NA,NA,NA,NA,1.84,F,1.84
"Montenegro et al., 2021, Scientific Reports",Laboratory (operant conditioning chambers),Laboratory,Other,Poecile atricapillus,Chickadee,Behavior,NA,NA,NA,NA,NA,Operant chamber setup,Noise,,Number of syllables in a song,Noise,10,0.922,NA,NA,NA,NA,NA,NA,NA,1.844,Eta-squared (ANOVA),1.844
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Western tanager,Tanager,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Probability of occurrence,Abundance,113,0.69,NA,NA,0.23,1.15,0.24,NA,NA,1.90657936,Beta coefficient,1.90657936
"Dowling JL, Luther DA, Marra PP. 2012. Behavioral Ecology",Urban to rural gradient in Washington DCâ€“Baltimore metropolitan area,Urban to rural gradient,Mixed,Song Sparrow (Melospiza melodia),Sparrow,Communication,2114,7828,NA,NA,400,Recordings within 400 m radius of site center,Noise,"Ambient noise level (dB), % impervious surface",Frequency,Song Frequency/Duration,36,0.49,NA,NA,NA,NA,NA,0.49,NA,1.960392118,R²,1.960392118
"Damsky J, Gall MD. 2017. The Condor 119:26-33",Ecological preserve,Wildlife preserve,Rural,Black-capped Chickadee and Tufted TitMouse,Chickadee,Behavior,NA,NA,NA,NA,20,20 m (speaker to platform),Noise,"Trial time (before, during, after)",Heterothermy Index (HI),Abundance,27,52.817,NA,NA,NA,NA,NA,NA,NA,1.977971276,χ²,1.977971276
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Woodland,Urban,Golden-cheeked warbler (Setophaga chrysoparia),warbler,Communication,3965,5295,NA,NA,450,0-900 m from highways,Control and Environmental,Treatment phase,Urban Bandwidth,Song Frequency/Duration,19000,1.06,NA,NA,NA,NA,NA,NA,NA,2.12,F,2.12
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Urban green spaces,Urban,Golden-cheeked warbler (Setophaga chrysoparia),Warbler,Communication,3965,5295,NA,NA,450,0-900 m from highways,Control and Environmental,Treatment phase,Frequency,Noise,19000,1.11,NA,NA,NA,NA,NA,NA,NA,2.22,F,2.22
"Dowling JL, Luther DA, Marra PP. 2012. Behavioral Ecology",Urban to rural gradient in Washington DCâ€“Baltimore metropolitan area,Urban to rural gradient,Mixed,Song Sparrow (Melospiza melodia),Sparrow,Communication,2114,7828,NA,NA,400,Recordings within 400 m radius of site center,Noise,"Ambient noise level (dB), % impervious surface",Frequency,Song Frequency/Duration,36,0.56,NA,NA,NA,NA,NA,0.56,NA,2.256304299,R²,2.256304299
"Halfwerk W, van Oers K. 2020. Proc. R. Soc. B 287: 20192951",Controlled experimental room,Laboratory,Other,Great Tit (Parus major),Tit,Behavior,NA,NA,NA,NA,NA,Not specified (experimental room: 4.0 x 2.4 x 2.5 m),Control and Noise,Prey target (conspicuous),Trials to Criterion,Effect on Bird,12,2.83,NA,NA,NA,NA,NA,NA,NA,2.311970285,z-value,2.311970285
"JuÃ¡rez et al., 2021, Ibis, 163, 52-64",Urban gradient,Urban city,Urban,House Wren (Troglodytes aedon),Wren,Communication,800,5000,NA,NA,10,Average 10 m (range 8-12 m),Noise,,Stress hormone levels,Song Frequency/Duration,10,0.58,58,NA,NA,NA,NA,0.58,NA,2.350278606,R²,2.350278606
"Damsky J, Gall MD. 2017. The Condor 119:26-36",Ecological preserve,Wildlife preserve,Rural,Black-capped Chickadee and Tufted TitMouse,Chickadee,Behavior,NA,NA,NA,NA,23,23 m (speaker to platform),Noise,"Trial time (before, during, after)",Frequency,Song Frequency/Duration,27,1.183,NA,NA,NA,NA,NA,NA,NA,2.366,F,2.366
"Engel MS et al., Curr Pollut Reports, 2024","Multiple habitats (urban, rural, natural)",Urban to rural gradient,Mixed,Multiple Species of Birds,Multiple,Behavior,NA,NA,NA,NA,NA,NA,Noise,NA,Pairing Success,Effect on Bird,50,0.781,NA,NA,NA,NA,NA,NA,NA,2.501076712,epsilon-squared,2.501076712
"Long AM et al. 2017. Ecology and Evolution, 7:379-390",Urban warbler habitat,Woodland,Urban,Golden-cheeked warbler (Setophaga chrysoparia),Warbler,Behavior,3965,5295,NA,NA,400,≤400 m from highways,Environmental,"Distance, Site and treatment phase",Note duration (seconds),Song Frequency/Duration,450,1.29,NA,NA,NA,NA,NA,NA,NA,2.58,F,2.58
"Dowling JL, Luther DA, Marra PP. 2012. Behavioral Ecology",Urban to rural gradient in Washington DCâ€“Baltimore metropolitan area,Urban to rural gradient,Mixed,Song Sparrow (Melospiza melodia),Sparrow,Communication,2114,7828,NA,NA,400,Recordings within 400 m radius of site center,Noise,"Ambient noise level (dB), % impervious surface",Frequency,Song Frequency/Duration,36,0.64,NA,NA,NA,NA,NA,0.64,NA,2.666666667,R²,2.666666667
"Dowling JL, Luther DA, Marra PP. 2012. Behavioral Ecology",Urban to rural gradient in Washington DCâ€“Baltimore metropolitan area,Urban to rural gradient,Mixed,American Robin (Turdus migratorius),Robin,Communication,1808,3729,NA,NA,400,Recordings within 400 m radius of site center,Noise,"Ambient noise level (dB), % impervious surface",Song Rates,Song Frequency/Duration,7,0.67,NA,NA,NA,NA,NA,0.67,NA,2.849774047,R²,2.849774047
"Damsky J, Gall MD. 2017. The Condor 119:26-35",Ecological preserve,Wildlife preserve,Rural,Black-capped Chickadee and Tufted TitMouse,Chickadee,Behavior,NA,NA,NA,NA,22,22 m (speaker to platform),Noise,"Trial time (before, during, after)",Number of birds approaching speaker,Abundance,27,113.056,NA,NA,NA,NA,NA,NA,NA,2.893876037,χ²,2.893876037
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Woodland,Urban,Golden-cheeked warbler (Setophaga chrysoparia),warbler,Communication,3965,5295,NA,NA,450,0-900 m from highways,Control and Environmental,Treatment phase,Bandwidth (Flourish Phrase),Song Frequency/Duration,19000,1.55,NA,NA,NA,NA,NA,NA,NA,3.1,F,3.1
"Dowling JL, Luther DA, Marra PP. 2012. Behavioral Ecology",Urban to rural gradient in Washington DCâ€“Baltimore metropolitan area,Urban to rural gradient,Mixed,Gray Catbird (Dumetella carolinensis),Catbird,Communication,1377,7398,NA,NA,400,Recordings within 400 m radius of site center,Noise,"Ambient noise level (dB), % impervious surface",Onset of dawn song (minutes before sunrise),Song Frequency/Duration,8,0.71,NA,NA,NA,NA,NA,0.71,NA,3.129393463,R²,3.129393463
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Woodland,Urban,Golden-cheeked warbler (Setophaga chrysoparia),warbler,Communication,3965,5295,NA,NA,450,0-900 m from highways,Control and Environmental,Treatment phase,Post Hoc Tests,Song Frequency/Duration,19000,1.62,NA,NA,NA,NA,NA,NA,NA,3.24,F,3.24
"Dowling JL, Luther DA, Marra PP. 2012. Behavioral Ecology",Urban to rural gradient in Washington DCâ€“Baltimore metropolitan area,Urban to rural gradient,Mixed,Gray Catbird (Dumetella carolinensis),Catbird,Communication,1377,7398,NA,NA,400,Recordings within 400 m radius of site center,Noise,"Ambient noise level (dB), % impervious surface",Mean Noise Exceedance (dBA),Song Frequency/Duration,8,0.74,NA,NA,NA,NA,NA,0.74,NA,3.374109569,R²,3.374109569
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Urban green spaces,Urban,Golden-cheeked warbler (Setophaga chrysoparia),Warbler,Communication,3965,5295,NA,NA,450,0-900 m from highways,Control and Environmental,Treatment phase,Frequency,Noise,19000,1.77,NA,NA,NA,NA,NA,NA,NA,3.54,F,3.54
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Woodland,Urban,Golden-cheeked warbler (Setophaga chrysoparia),warbler,Communication,3965,5295,NA,NA,450,0-900 m from highways,Control and Environmental,Treatment phase,Frequency,Song Frequency/Duration,19000,1.81,NA,NA,NA,NA,NA,NA,NA,3.62,F,3.62
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Western tanager,Tanager,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Probability of occurrence (occupied vs unoccupied territory),Abundance,113,0.88,NA,NA,0.24,1.35,0.41,NA,NA,3.705468453,Beta coefficient,3.705468453
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Western tanager,Tanager,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Probability of occurrence (occupied vs unoccupied territory),Abundance,113,0.89,NA,NA,0.32,1.52,0.25,NA,NA,3.903846723,Beta coefficient,3.903846723
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Urban green spaces,Urban,Golden-cheeked warbler (Setophaga chrysoparia),Warbler,Communication,3965,5295,NA,NA,450,0-900 m from highways,Control and Environmental,Treatment phase,Frequency,Noise,19000,2.17,NA,NA,NA,NA,NA,NA,NA,4.34,F,4.34
"Dowling JL, Luther DA, Marra PP. 2012. Behavioral Ecology",Urban to rural gradient in Washington DCâ€“Baltimore metropolitan area,Urban to rural gradient,Mixed,American Robin (Turdus migratorius),Robin,Communication,1808,3729,NA,NA,400,Recordings within 400 m radius of site center,Noise,"Ambient noise level (dB), % impervious surface",Visiual Threat Display,Song Frequency/Duration,7,0.84,NA,NA,NA,NA,NA,0.84,NA,4.582575695,R²,4.582575695
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Woodland,Urban,Golden-cheeked warbler (Setophaga chrysoparia),Warbler,Behavior,3965,5295,NA,NA,400,≤400 m from highways,Environmental,"Distance, Site and treatment phase",Frequency,Song Frequency/Duration,450,2.36,NA,NA,NA,NA,NA,NA,NA,4.72,F,4.72
"Damsky J, Gall MD. 2017. The Condor 119:26-36",Ecological preserve,Wildlife preserve,Rural,Black-capped Chickadee and Tufted TitMouse,Chickadee,Behavior,NA,NA,NA,NA,23,23 m (speaker to platform),Noise,"Trial time (before, during, after)",Number of syllables (per song),Song Frequency/Duration,27,2.47,NA,NA,NA,NA,NA,NA,NA,4.94,F,4.94
"Dowling JL, Luther DA, Marra PP. 2012. Behavioral Ecology",Urban to rural gradient in Washington DCâ€“Baltimore metropolitan area,Urban to rural gradient,Mixed,American Robin (Turdus migratorius),Robin,Communication,1808,3729,NA,NA,400,Recordings within 400 m radius of site center,Noise,"Ambient noise level (dB), % impervious surface",Interaction of treatment* Habitat,Song Frequency/Duration,7,0.87,NA,NA,NA,NA,NA,0.87,NA,5.173898991,R²,5.173898991
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Urban green spaces,Urban,Golden-cheeked warbler (Setophaga chrysoparia),Warbler,Communication,3965,5295,NA,NA,450,0-900 m from highways,Control and Environmental,Treatment phase,Frequency,Noise,19000,2.67,NA,NA,NA,NA,NA,NA,NA,5.34,F,5.34
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Woodland,Urban,Golden-cheeked warbler (Setophaga chrysoparia),warbler,Communication,3965,5295,NA,NA,450,0-900 m from highways,Control and Environmental,Treatment phase,Number of notes of a song,Song Frequency/Duration,19000,2.75,NA,NA,NA,NA,NA,NA,NA,5.5,F,5.5
"Marques de Abreu L, Guerra V, Solé M. 2024. Ecology and Evolution, 14, e11261",Bromeliad-rich areas near highways and natural environments,Road,Urban,Phyllodytes luteolus (Yellow Heart-tongued Frog),,Communication,NA,NA,NA,71.1,1,0.5-1.5 m,Control and Environmental,Social Situation (With Chorus vs. Without Chorus),Provisioning rate (events/h),Effect on Bird,38,3.302,71.1,NA,1.051,NA,NA,NA,NA,6.604,E,6.604
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Woodland,Urban,Golden-cheeked warbler (Setophaga chrysoparia),warbler,Communication,3965,5295,NA,NA,450,0-900 m from highways,Control and Environmental,Treatment phase,Body condition (size-corrected weight),Song Frequency/Duration,19000,3.35,NA,NA,NA,NA,NA,NA,NA,6.7,F,6.7
"Halfwerk W, van Oers K. 2020. Proc. R. Soc. B 287: 20192951",Controlled experimental room,Laboratory,Other,Great Tit (Parus major),Tit,Behavior,NA,NA,NA,NA,NA,Not specified (experimental room: 4.0 x 2.4 x 2.5 m),Control and Noise,,Frequency,Noise,12,386.2,NA,NA,NA,NA,NA,NA,NA,8.022883937,χ²,8.022883937
"Halfwerk W, van Oers K. 2020. Proc. R. Soc. B 287: 20192951",Controlled experimental room,Laboratory,Other,Great Tit (Parus major),Tit,Behavior,NA,NA,NA,NA,NA,Not specified (experimental room: 4.0 x 2.4 x 2.5 m),Control and Noise,Prey target (colour-matched),Frequency,Noise,12,457.6,NA,NA,NA,NA,NA,NA,NA,8.733078877,χ²,8.733078877
"Halfwerk W, van Oers K. 2020. Proc. R. Soc. B 287: 20192951",Controlled experimental room,Laboratory,Other,Great Tit (Parus major),Tit,Behavior,NA,NA,NA,NA,NA,Not specified (experimental room: 4.0 x 2.4 x 2.5 m),Control and Noise,Prey target (colour-matched),Song length (s),Noise,12,545.9,NA,NA,NA,NA,NA,NA,NA,9.538518403,χ²,9.538518403
"Halfwerk W, van Oers K. 2020. Proc. R. Soc. B 287: 20192951",Controlled experimental room,Laboratory,Other,Great Tit (Parus major),Tit,Behavior,NA,NA,NA,NA,NA,Not specified (experimental room: 4.0 x 2.4 x 2.5 m),Control and Noise,Prey target (cryptic),Maximum frequency of song (kHz),Noise,12,595,NA,NA,NA,NA,NA,NA,NA,9.958246164,χ²,9.958246164
"Khadraoui M, Toews DPL. 2015. The Wilson Journal of Ornithology 127(4):739-746",Highly urbanized setting,Urban city,Urban,Northwestern Crow (Corvus caurinus),Crow,Communication,NA,NA,NA,NA,5000,"Near Burnaby Lake Sports Complex West, <5 km from traffic monitoring station",Environmental,Sunrise time,Discrimination Ratio,Effect on Bird,58,0.97,NA,NA,NA,NA,NA,0.97,-1.5,11.37248141,R²,11.37248141
